ID,Date,Value
1,2009-03-01,460.91
2,2009-04-01,460.22
3,2009-05-01,459.53
4,2009-06-01,458.84
5,2009-07-01,458.15
6,2009-08-01,457.46
7,2009-09-01,456.77
8,2009-10-01,456.08
9,2009-11-01,455.39
10,2009-12-01,454.7
11,2010-01-01,454.01
12,2010-02-01,453.32
13,2010-03-01,452.63
14,2010-04-01,451.94
15,2010-05-01,451.25
16,2010-06-01,450.56
17,2010-07-01,449.87
18,2010-08-01,449.18
19,2010-09-01,448.49
20,2010-10-01,447.8
21,2010-11-01,447.11
22,2010-12-01,446.42
23,2011-01-01,445.73
24,2011-02-01,445.04
25,2011-03-01,444.35
26,2011-04-01,443.66
27,2011-05-01,442.97
28,2011-06-01,442.28
29,2011-07-01,441.59
30,2011-08-01,440.9
31,2011-09-01,440.21
32,2011-10-01,439.52
33,2011-11-01,438.83
34,2011-12-01,438.14
35,2012-01-01,437.45
36,2012-02-01,436.76
37,2012-03-01,436.07
38,2012-04-01,435.38
39,2012-05-01,434.69
40,2012-06-01,434
41,2012-07-01,433.31
42,2012-08-01,432.62
43,2012-09-01,431.93
44,2012-10-01,586.08
45,2012-11-01,588.9
46,2012-12-01,591.72
47,2013-01-01,594.54
48,2013-02-01,597.36
49,2013-03-01,600.18
50,2013-04-01,603
51,2013-05-01,605.82
52,2013-06-01,608.64
53,2013-07-01,611.46
54,2013-08-01,614.28
55,2013-09-01,617.1
56,2013-10-01,619.92
57,2013-11-01,622.74
58,2013-12-01,625.56
59,2014-01-01,628.38
60,2014-02-01,631.2
61,2014-03-01,634.02
62,2014-04-01,636.84
63,2014-05-01,639.66
64,2014-06-01,642.48
65,2014-07-01,645.3
66,2014-08-01,648.12
67,2014-09-01,650.94
68,2014-10-01,653.76
69,2014-11-01,656.58
70,2014-12-01,659.4
71,2015-01-01,662.22
72,2015-02-01,665.04
73,2015-03-01,667.86
74,2015-04-01,670.68
75,2015-05-01,673.5
76,2015-06-01,676.32
77,2015-07-01,679.14
78,2015-08-01,681.96
79,2015-09-01,684.78
80,2015-10-01,687.6
81,2015-11-01,690.42
82,2015-12-01,693.24
83,2016-01-01,696.06
84,2016-02-01,698.88
85,2016-03-01,701.7
86,2016-04-01,704.52
87,2016-05-01,707.34
88,2016-06-01,710.16
89,2016-07-01,712.98
90,2016-08-01,715.8
91,2016-09-01,718.62
92,2016-10-01,721.44
93,2016-11-01,724.26
94,2016-12-01,727.08
95,2017-01-01,729.9
96,2017-02-01,732.72
97,2017-03-01,735.54
98,2017-04-01,738.36
99,2017-05-01,741.18
100,2017-06-01,744
101,2017-07-01,746.82
102,2017-08-01,749.64
103,2017-09-01,752.46
104,2017-10-01,755.28
105,2017-11-01,758.1
106,2017-12-01,760.92
107,2018-01-01,763.74
108,2018-02-01,766.56
109,2018-03-01,769.38
110,2018-04-01,772.2
111,2018-05-01,775.02
112,2018-06-01,777.84
113,2018-07-01,780.66
114,2018-08-01,783.48
115,2018-09-01,786.3
116,2018-10-01,789.12
117,2018-11-01,791.94
118,2018-12-01,794.76
119,2019-01-01,797.58
120,2019-02-01,800.4
121,2019-03-01,803.22
